Country,Year,MedalCount
United States,2016,699
Great Britain,2016,470
France,2016,504
Italy,2016,395
Germany,2016,528
Australia,2016,510
Canada,2016,397
Japan,2016,436
Hungary,2016,204
Sweden,2016,186
United States,2020,856
Great Britain,2020,548
France,2020,538
Italy,2020,524
Germany,2020,597
Australia,2020,638
Canada,2020,509
Japan,2020,787
Hungary,2020,237
Sweden,2020,173
United States,2024,854
Great Britain,2024,533
France,2024,801
Italy,2024,610
Germany,2024,647
Australia,2024,649
Canada,2024,538
Japan,2024,598
Hungary,2024,255
Sweden,2024,173
